title,artist,isrc,assigned_node,node_status,governance_rule,score,score_band,justification
The Gardener,The Tallest Man On Earth,USJ5G1093206,Music > Roots > Folk > Folk (Standard),existente,Regla 15,92,Encaje perfecto,"Base acustica, centralidad de voz y continuidad folk clara; no hay groove pop ni rock dominante."
Boat On The River,Styx,USAM17902302,Music > Roots > Folk > Folk (Standard),existente,Regla 15,74,Encaje fuerte,"Caso borderline dentro de existentes posibles, pero el arreglo acustico-folk pesa mas que una logica estructural de banda rock o progresiva."
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,USSM16500041,Music > Rock > Folk Rock,existente,Regla 15,96,Encaje perfecto,"Fusion clara de herencia folk con instrumentacion y estructura de banda rock."
Diamonds And Rust,Joan Baez,USAM17502181,Music > Roots > Folk > Folk (Standard),existente,Regla 15,90,Encaje perfecto,"Identidad folk dominante y ausencia de una logica pop o rock superior a la raiz folk."
Blowin' in the Wind,Bob Dylan,USSM19900534,Music > Roots > Folk > Folk (Standard),existente,Regla 15,98,Encaje perfecto,"Encaje canonico con Folk (Standard); continuidad directa con precedentes folk del catalogo."
Coincidir,Mexicanto,MXF600700003,Music > Roots > Folk > Latin Folk > Latin Folk Singer-Songwriter,existente,Regla 15,95,Encaje perfecto,"Cancion de autor hispanohablante con acompanamiento sobrio, centralidad del texto e identidad de folk latino autoral."
¿Y Cómo Es Él?,José Luis Perales,ES5151901025,Music > Pop > Pop Ballad,existente,Regla 15,91,Encaje perfecto,"Balada de tempo medio-lento centrada en melodia y voz; la identidad principal es de cancion pop emotiva, no de folk ni de rock."
Contigo Aprendí,Armando Manzanero,MXF016700436,Music > Roots > Bolero,existente,Regla 15,98,Encaje perfecto,"Pertenece con claridad al sistema bolero por cadencia romantica, tradicion latinoamericana y lenguaje canonico del genero."
Te Amo,Franco De Vita,VES018800013,Music > Pop > Pop Ballad,existente,Regla 15,84,Encaje fuerte,"Con la evidencia disponible se sostiene como balada pop: foco en voz y melodia, sin anclaje folk o bolero claro; la impronta autoral no basta para Singer-Songwriter Pop."
Santa Lucia,Miguel Rios,ES5700500781,Music > Rock > Soft Rock,existente,Regla 15,72,Encaje fuerte,"Se mantiene provisionalmente en Soft Rock por contexto rock interno del catalogo y perfil melodico suave, pero el encaje es debil y Pop Ballad sigue siendo alternativa cercana."
Si tú no estas,Rosana,ES6330300130,Music > Pop > Singer-Songwriter Pop,existente,Regla 15,90,Encaje perfecto,"Cancion pop de impronta autoral e intima, con voz y melodia al centro; la logica pop personal pesa mas que una raiz folk especifica."
